Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
ALDH1L2	"FLJ38508, mtFDH"	ENSG00000136010	"Aldehyde dehydrogenase 1 family member L2"	Q3SY69	12	105019784-105107643	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"One-carbon metabolism"	Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"pancreas: 39.4;salivary gland: 12.7"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 43.7;Excitatory neurons: 22.3;Inhibitory neurons: 23.1;Oligodendrocyte precursor cells: 23.6;Plasma cells: 27.4;Serous glandular cells: 38.9"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Myeloma: 39.5"	"Minor Salivary Gland - Minor salivary glandular cells, Pituitary gland - Gonadotropes, Spleen - Plasma cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039481, HPA059282"	Approved		Supported	Mitochondria			No	No				"Cluster 15: Pancreas - Proteolysis"	"Cluster 25: Non-specific - Transcription"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 77: Plasma cells - Protein processing"	4	Mitochondria		"HPA039481: AB_10795465, HPA059282: AB_2732633"	"unprognostic (1.81e-3)"	"unprognostic (1.80e-1)"	"unprognostic (1.25e-1)"	"unprognostic (2.10e-1)"	"unprognostic (1.60e-1)"	"unprognostic (1.42e-1)"	"unprognostic (5.00e-2)"	"unprognostic (3.26e-3)"	"unprognostic (1.19e-1)"		"unprognostic (3.12e-3)"	"unprognostic (2.95e-2)"				"unprognostic (1.29e-1)"	"unprognostic (2.11e-2)"	"unprognostic (4.89e-2)"	"unprognostic (1.68e-1)"	"unprognostic (9.43e-2)"	"unprognostic (1.67e-4)"	"unprognostic (1.14e-1)"	"unprognostic (2.09e-1)"		"unprognostic (6.91e-3)"	"unprognostic (6.39e-2)"	"unprognostic (3.39e-1)"	"unprognostic (1.37e-2)"	"unprognostic (1.36e-1)"		"unprognostic (8.42e-2)"
CELA1	ELA1	ENSG00000139610	"Chymotrypsin like elastase 1"	Q9UNI1	12	51328442-51346679	"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"adrenal gland: 2.1;pancreas: 6.4"	"Cell type enhanced"	"Detected in some"		"Exocrine glandular cells: 6.7;Extravillous trophoblasts: 3.3;Kupffer cells: 8.5;NK-cells: 2.2;Oocytes: 2.2;Pancreatic endocrine cells: 1.7"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in many"		"basophil: 12.6;naive CD4 T-cell: 12.3"	"Group enriched"	"Detected in many"	8	"granulocytes: 12.6;T-cells: 12.3"	"Not detected"	"Not detected"				"Low region specificity"	"Detected in all"			"Not detected"	"Not detected"								"Secreted - unknown location"	Enzyme	NA	NA			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 15: Pancreas - Proteolysis"		"Cluster 34: Testis cancer - Unknown function"	"Cluster 19: NK-cells - Adaptive immune response"							"unprognostic (1.78e-1)"																												
CFAP97D2		ENSG00000283361	"CFAP97 domain containing 2"	A0A1B0GU71	13	114154691-114223085	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Group enriched"	"Detected in some"	5	"choroid plexus: 7.3;fallopian tube: 18.9;pancreas: 6.1"	"Group enriched"	"Detected in some"	4	"Ciliated cells: 30.0;Spermatocytes: 11.3"	"Cell type enriched"	"Detected in many"	8	"ependymal cell: 205.4"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	13	"naive CD8 T-cell: 4.0"	"Lineage enriched"	"Detected in single"	40	"T-cells: 4.0"	"Not detected"	"Not detected"			"Lung - Respiratory ciliated cells"																NA	NA			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 42: Ciliated cells - Cilium assembly"																																			
COCH	"COCH-5B2, DFNA31, DFNA9"	ENSG00000100473	Cochlin	O43405	14	30874514-30895065	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters"	Hearing		"Deafness, Disease variant, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"pancreas: 486.6"	"Cell type enhanced"	"Detected in many"		"Exocrine glandular cells: 36.2;Horizontal cells: 32.7;Oocytes: 64.0;Spermatocytes: 29.2"	"Cell type enriched"	"Detected in all"	5	"medium spiny neuron: 282.4"	"Low cancer specificity"	"Detected in many"			"Region enhanced"	"Detected in all"		"basal ganglia: 151.3"	"Group enriched"	"Detected in some"	12	"memory B-cell: 38.4;naive B-cell: 17.8"	"Lineage enriched"	"Detected in many"	17	"B-cells: 38.4"	"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in all"	4	"amygdala: 23.2;basal ganglia: 66.7;cerebral cortex: 17.2;hippocampal formation: 16.6"	HPA065086			Supported	Vesicles	"Secreted in other tissues"	Other	NA	NA		380000	"Cluster 17: B-cells - Immunoglobulins"	"Cluster 15: Pancreas - Proteolysis"	"Cluster 33: Neurons - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 53: Fibroblasts - ECM organization"	1	Vesicles		"HPA065086: "	"unprognostic (3.78e-1)"	"unprognostic (6.97e-2)"	"unprognostic (7.99e-2)"	"unprognostic (2.61e-2)"	"unprognostic (1.03e-1)"	"unprognostic (1.93e-3)"	"unprognostic (4.58e-2)"	"unprognostic (1.80e-1)"	"unprognostic (9.06e-2)"	"unprognostic (1.71e-1)"	"unprognostic (2.35e-3)"	"unprognostic (1.79e-2)"	"unprognostic (3.01e-2)"	"unprognostic (1.12e-1)"	"unprognostic (3.12e-2)"	"unprognostic (2.60e-2)"	"unprognostic (2.19e-1)"	"unprognostic (1.90e-2)"	"unprognostic (1.55e-3)"	"unprognostic (1.31e-1)"	"unprognostic (3.40e-2)"	"unprognostic (1.93e-2)"	"unprognostic (4.86e-1)"	"unprognostic (4.44e-3)"	"unprognostic (7.88e-2)"	"unprognostic (1.30e-1)"	"unprognostic (2.74e-1)"	"unprognostic (1.06e-2)"	"unprognostic (1.36e-2)"		"unprognostic (7.52e-2)"
DEFB1	"BD1, DEFB-1, DEFB101, HBD-1, HBD1, MGC51822"	ENSG00000164825	"Defensin beta 1"	P60022	8	6870592-6877936	"Predicted secreted proteins, Transporters"		"Antibiotic, Antimicrobial, Defensin"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"kidney: 1698.6;pancreas: 725.9;salivary gland: 1917.1"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 1848.7;Distal tubular cells: 12736.3;Ductal cells: 1962.9;Mucus glandular cells: 5835.8;Salivary duct cells: 3325.3"	"Group enriched"	"Detected in some"	6	"fibroblast: 2.5;midbrain-derived inhibitory: 4.9;thalamic excitatory: 5.9"	"Group enriched"	"Detected in many"	6	"Kidney Chromophobe (TCGA): 2086.0;Kidney Renal Papillary Cell Carcinoma (TCGA): 557.3"	"Group enriched"	"Detected in many"	5	"amygdala: 2.9;cerebellum: 3.4;hypothalamus: 1.8;midbrain: 4.7;thalamus: 6.6"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Leukemia: 57.7;ovarian cancer: 43.5"	"Kidney - Intercalated cells, Minor Salivary Gland - Minor salivary glandular cells"					"Not detected"	"Not detected"								"Secreted in other tissues"	Defense	NA	NA		1100000		"Cluster 52: Kidney - Transmembrane transport"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 39: Non-specific - Basic cellular processes"					"unprognostic (2.66e-1)"	"unprognostic (2.97e-1)"	"unprognostic (4.29e-2)"	"unprognostic (2.47e-1)"	"unprognostic (2.28e-2)"	"unprognostic (3.96e-1)"			"unprognostic (5.93e-2)"	"unprognostic (6.83e-2)"	"unprognostic (1.27e-1)"	"unprognostic (4.25e-2)"	"unprognostic (1.21e-2)"	"unprognostic (3.71e-1)"	"unprognostic (7.09e-4)"	"unprognostic (4.03e-4)"	"unprognostic (1.05e-1)"	"unprognostic (5.10e-2)"	"unprognostic (2.03e-2)"	"unprognostic (2.45e-2)"	"unprognostic (2.74e-1)"	"unprognostic (4.07e-3)"	"unprognostic (3.45e-1)"	"unprognostic (3.59e-2)"	"unprognostic (1.07e-1)"	"unprognostic (4.08e-4)"	"unprognostic (1.69e-1)"	"unprognostic (1.52e-1)"	"unprognostic (1.88e-1)"	"unprognostic (3.09e-2)"	"unprognostic (1.27e-1)"
ENSG00000268655		ENSG00000268655	"Novel protein"		19	49017968-49020549	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Group enriched"	"Detected in some"	5	"pancreas: 8.7;testis: 2.6"	"Group enriched"	"Detected in some"	7	"Early spermatids: 23.8;Late spermatids: 8.9;Oocytes: 11.0"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pancreas - Exocrine glandular cells, Pituitary gland - Gonadotropes, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 15: Non-specific - Transcription"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 18: Early spermatids - Unknown function"																																			
FBXO2	"Fbg1, Fbs1, FBX2, Nfb42, OCP1"	ENSG00000116661	"F-box protein 2"	Q9UK22	1	11637018-11655785	"Predicted intracellular proteins"	"Ubl conjugation pathway"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 296.0;choroid plexus: 92.9;pancreas: 84.4;pituitary gland: 115.2"	"Cell type enhanced"	"Detected in many"		"Basal respiratory cells: 140.8;Exocrine glandular cells: 355.1;Hepatocytes: 113.3;Pancreatic endocrine cells: 115.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in many"		"cervical cancer: 82.5"	"Adipose visceral - Mesothelial cells, Colon - Colon enteroendocrine cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA005472	Enhanced		Approved	Nucleoplasm,Cytosol			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 45: Non-specific - Mixed function"	171	"Nucleoplasm, Cytosol"		"HPA005472: AB_2667332"	"unprognostic (2.65e-2)"	"unprognostic (4.60e-2)"	"unprognostic (4.33e-2)"	"unprognostic (1.68e-1)"	"unprognostic (1.82e-1)"	"unprognostic (1.71e-5)"	"unprognostic (1.43e-1)"	"unprognostic (9.00e-2)"	"unprognostic (5.72e-2)"	"unprognostic (4.48e-1)"	"unprognostic (2.58e-2)"	"unprognostic (3.87e-2)"	"unprognostic (6.17e-3)"	"unprognostic (6.15e-2)"	"unprognostic (1.29e-2)"	"unprognostic (1.09e-1)"	"unprognostic (3.18e-2)"	"unprognostic (1.62e-3)"	"unprognostic (1.60e-2)"	"unprognostic (3.62e-1)"	"unprognostic (6.07e-2)"	"unprognostic (2.16e-2)"	"unprognostic (5.47e-2)"	"unprognostic (1.51e-2)"	"unprognostic (2.72e-1)"	"unprognostic (2.29e-2)"	"unprognostic (2.53e-3)"	"unprognostic (5.92e-2)"	"unprognostic (1.77e-1)"	"unprognostic (4.18e-2)"	"unprognostic (3.32e-2)"
GJB1	"CMTX, CMTX1, CX32"	ENSG00000169562	"Gap junction protein beta 1"	P08034	X	71212811-71225516	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"			"Charcot-Marie-Tooth disease, Dejerine-Sottas syndrome, Disease variant, Neurodegeneration, Neuropathy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 188.9;liver: 376.0;pancreas: 110.1"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 129.7;Distal enterocytes: 63.7;Exocrine glandular cells: 65.3;Hepatocytes: 261.0;Paneth cells: 62.7;Proximal enterocytes: 117.8;Undifferentiated cells: 62.9"	"Cell type enriched"	"Detected in some"	5	"oligodendrocyte: 102.4"	"Cancer enhanced"	"Detected in many"		"Liver Hepatocellular Carcinoma (TCGA): 245.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Gastric cancer: 43.3;skin cancer: 83.8"	"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Minor Salivary Gland - Minor salivary glandular cells, Prostate - Prostate glandular cells, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			CAB012994	Uncertain						NA	NA				"Cluster 69: Liver - Oxidoreductase activity"	"Cluster 30: White matter - Myelination"	"Cluster 9: Skin cancer - Melanin biosynthesis"	"Cluster 43: Hepatocytes - Metabolism"	41			"CAB012994: AB_2533228"	"unprognostic (4.46e-2)"	"unprognostic (2.83e-3)"	"unprognostic (1.12e-1)"	"unprognostic (9.62e-2)"	"unprognostic (1.34e-1)"	"unprognostic (2.90e-1)"	"unprognostic (2.31e-1)"	"unprognostic (2.02e-1)"		"unprognostic (9.37e-2)"	"unprognostic (2.95e-9)"	"unprognostic (1.87e-4)"	"unprognostic (3.84e-3)"	"unprognostic (3.13e-1)"	"unprognostic (1.20e-1)"	"unprognostic (4.92e-2)"	"unprognostic (1.94e-2)"	"unprognostic (8.65e-3)"		"unprognostic (7.39e-2)"	"unprognostic (6.36e-3)"	"unprognostic (1.55e-2)"	"unprognostic (5.92e-4)"	"unprognostic (1.31e-1)"	"unprognostic (5.42e-2)"	"unprognostic (2.57e-1)"	"unprognostic (1.11e-1)"	"unprognostic (1.06e-2)"	"unprognostic (3.94e-1)"		"unprognostic (1.60e-1)"
HTR3A	"5-HT3A, 5-HT3R, HTR3"	ENSG00000166736	"5-hydroxytryptamine receptor 3A"	P46098	11	113975075-113990313	"FDA approved drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Ion channel, Ligand-gated ion channel, Receptor"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"brain: 2.5;intestine: 2.0;lymphoid tissue: 7.8;pancreas: 2.5;salivary gland: 4.8"	"Group enriched"	"Detected in some"	5	"Ductal cells: 25.0;Exocrine glandular cells: 71.5;Pancreatic endocrine cells: 23.8"	"Cell type enriched"	"Detected in some"	4	"CGE interneuron: 12.4"	"Cancer enhanced"	"Detected in many"		"Ovary Serous Cystadenocarcinoma (TCGA): 20.8"	"Low region specificity"	"Detected in some"			"Group enriched"	"Detected in some"	15	"memory B-cell: 3.9;naive B-cell: 13.9;plasmacytoid DC: 11.6"	"Group enriched"	"Detected in many"	128	"B-cells: 13.9;dendritic cells: 11.6"	"Group enriched"	"Detected in some"	9	"lymphoma: 15.4;Neuroblastoma: 12.9"	"Colon - Colon enteroendocrine cells, Spleen - B-cells (Spleen)"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in some"	12	"amygdala: 2.7;cerebral cortex: 4.1;hippocampal formation: 3.9"	HPA069442	Supported						NA	NA			"Cluster 23: B-cells - Immunoglobulins"	"Cluster 36: Lymphoid tissue - Cytokine signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 45: Non-specific - Mixed function"	3			"HPA069442: AB_2732132"			"unprognostic (2.00e-1)"	"unprognostic (4.99e-3)"					"unprognostic (3.64e-3)"				"unprognostic (2.85e-2)"			"unprognostic (7.91e-4)"	"unprognostic (3.60e-1)"	"unprognostic (6.67e-2)"	"unprognostic (2.80e-1)"	"unprognostic (6.92e-2)"	"unprognostic (1.28e-3)"	"unprognostic (1.13e-2)"									"unprognostic (4.35e-2)"
IL22RA1	"CRF2-9, IL22R"	ENSG00000142677	"Interleukin 22 receptor subunit alpha 1"	Q8N6P7	1	24119771-24143140	"Predicted membrane proteins"		Receptor		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"pancreas: 193.5"	"Cell type enhanced"	"Detected in some"		"Distal enterocytes: 19.4;Exocrine glandular cells: 7.2;Intestinal goblet cells: 15.7;Proximal enterocytes: 35.8"	"Group enriched"	"Detected in some"	5	"ependymal cell: 2.1;hippocampal dentate gyrus: 2.1"	"Cancer enhanced"	"Detected in many"		"Rectum Adenocarcinoma (TCGA): 25.4"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"colorectal cancer: 11.2"	"Adipose visceral - Mesothelial cells, Colon - Colon enterocytes, Kidney - Proximal tubular cells, Pituitary gland - Corticotropes, Stomach - Gastric mucous cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"										NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 35: Non-specific - DNA binding"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	8				"unprognostic (8.70e-3)"		"unprognostic (1.63e-1)"	"unprognostic (3.15e-1)"	"unprognostic (3.59e-2)"	"unprognostic (1.48e-1)"			"unprognostic (2.46e-1)"		"unprognostic (6.00e-2)"	"unprognostic (8.95e-2)"	"unprognostic (5.52e-2)"	"unprognostic (4.42e-1)"	"unprognostic (2.38e-1)"	"unprognostic (1.23e-4)"		"unprognostic (8.60e-2)"	"unprognostic (7.97e-3)"	"unprognostic (3.24e-1)"	"unprognostic (6.01e-2)"	"unprognostic (3.97e-3)"	"unprognostic (2.14e-2)"		"unprognostic (1.09e-1)"	"unprognostic (5.81e-2)"	"unprognostic (1.21e-1)"	"unprognostic (2.42e-2)"	"unprognostic (2.40e-1)"	"unprognostic (4.05e-1)"	"unprognostic (2.04e-2)"
KCNK16	"K2p16.1, TALK-1, TALK1"	ENSG00000095981	"Potassium two pore domain channel subfamily K member 16"	Q96T55	6	39314698-39322968	"Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"pancreas: 22.9;stomach 1: 10.1"	"Cell type enriched"	"Detected in some"	11	"Pancreatic endocrine cells: 13.6"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	17	"Pancreatic Adenocarcinoma (TCGA): 24.6"	"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	10	"basophil: 2.1"	"Lineage enriched"	"Detected in single"	10	"granulocytes: 2.1"	"Cancer enriched"	"Detected in some"	5	"thyroid cancer: 10.8"	"Pancreas - Alpha cells, Pancreas - Beta cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"										NA	NA				"Cluster 15: Pancreas - Proteolysis"		"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 20: Enteroendocrine cells - Hormone signaling"	1																									"unprognostic (3.28e-2)"								"unprognostic (3.34e-1)"	
KISS1R	"AXOR12, GPR54, HOT7T175"	ENSG00000116014	"KISS1 receptor"	Q969F8	19	917287-921005	"Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"Disease variant, Hypogonadotropic hypogonadism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"brain: 3.6;pancreas: 1.3;pituitary gland: 1.1"	"Cell type enriched"	"Detected in some"	11	"Extravillous trophoblasts: 52.4"	"Cell type enhanced"	"Detected in many"		"deep-layer near-projecting: 11.1;splatter: 7.8"	"Cancer enriched"	"Detected in some"	5	"Kidney Renal Clear Cell Carcinoma (TCGA): 8.2"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Myeloma: 13.1"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in some"			"HPA007156, HPA071913"	Approved		Supported	"Vesicles,Plasma membrane"			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 24: Neurons - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 4: Extravillous trophoblasts - Unknown function"	3	"Plasma membrane"	Vesicles	"HPA007156: , HPA071913: AB_2686471"		"unprognostic (2.61e-1)"	"unprognostic (4.56e-1)"				"unprognostic (2.53e-3)"				"unprognostic (3.56e-2)"	"unprognostic (6.43e-3)"				"unprognostic (3.00e-2)"															"unprognostic (7.77e-2)"
MYMX	MINION	ENSG00000262179	"Myomixer, myoblast fusion factor"	A0A1B0GTQ4	6	44216926-44218234	"Disease related genes, Predicted intracellular proteins"	Myogenesis		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Group enriched"	"Detected in some"	5	"adipose tissue: 7.4;breast: 6.6;pancreas: 5.4;stomach 1: 2.2"	"Cell type enhanced"	"Detected in some"		"Adipocytes: 4.9;dendritic cells: 2.6;Distal tubular cells: 3.1;Extravillous trophoblasts: 1.9;Leydig cells: 1.4;Peritubular cells: 2.8"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	4	"Kidney Chromophobe (TCGA): 2.8;Testicular Germ Cell Tumor (TCGA): 3.5"	"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	107	"plasmacytoid DC: 10.6"	"Lineage enriched"	"Detected in single"	107	"dendritic cells: 10.6"	"Cancer enhanced"	"Detected in some"		"Rhabdoid: 5.8;Sarcoma: 14.5"	"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Skeletal muscle - Fibroblasts, Spleen - Macrophages"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA051451	Supported		Approved	Vesicles,Mitochondria,Cytosol			NA	NA			"Cluster 44: Plasmacytoid DCs - Plasma membrane proteins"	"Cluster 68: Non-specific - Protein processing"		"Cluster 24: Non-specific - Unknown function"	"Cluster 53: Fibroblasts - ECM organization"		Vesicles	"Mitochondria, Cytosol"	"HPA051451: "										"unprognostic (9.24e-2)"																			"unprognostic (1.65e-1)"		
